,logFC,logCPM,PValue,adjsutedPValue
__ambiguous,0.414229818175256,11.5410334991105,0.0430920344232439,0.0776405677612628
__no_feature,0.504704874526393,18.9346816322457,0.0137259540780885,0.0288432738750997
AT1G01010,-1.34817486462053,0.811263018852646,0.00197446551307829,0.00527115844786566
AT1G01020,1.34920179036802,2.00254927870208,6.51148060289093e-06,3.1030855512454e-05
AT1G01030,-6.17140287116709,-1.8442628463325,0.00464265501031792,0.0110431480633605
AT1G01040,-2.41932650243468,3.17457656375699,1.44118714186832e-17,8.26857604580015e-16
AT1G01046,-4.23023747448946,-2.98608720657443,0.502487562189054,0.616577043307029
AT1G01050,0.571542927547127,5.20672693936325,0.00824847343696173,0.0184311526646123
AT1G01060,-1.08257094128383,-1.89505906403181,0.517393651190423,0.631342075258682
AT1G01070,1.46202688178535,5.5196606295854,1.88991191980549e-11,3.07271793879128e-10
AT1G01080,0.606470980888765,3.92498521503727,0.0087579920846908,0.0194368104329016
AT1G01090,-0.201227455778737,6.00285217977294,0.342641959542217,0.452780332752814
AT1G01100,1.58723958502132,9.48412507548034,3.80787423972954e-14,1.098086988764e-12
AT1G01110,-0.717639995387448,2.4399536774897,0.0116394844667506,0.0248589548636006
AT1G01120,1.09689189381595,3.37783880419017,7.52167778824215e-06,3.54528845385742e-05
AT1G01130,-0.941411632908218,1.42946796456973,0.00720760238798156,0.0163818633505903
AT1G01140,-1.15474934183126,2.05861431920532,0.000200698619601728,0.000680942052317673
AT1G01150,-2.55180238585368,1.23358856378075,3.15852453701271e-09,3.1362592940044e-08
AT1G01160,-0.0248212452210264,4.58555900635023,0.91486421421726,1
AT1G01170,1.29878580462404,5.12227501342703,3.53094364117181e-09,3.47309559405145e-08
AT1G01180,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT1G01183,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT1G01190,-3.06741481325099,0.340321702412387,6.09386906068059e-07,3.63481755535818e-06
AT1G01200,-0.164910730494077,0.212222604044195,0.811669760034083,0.910585148669472
AT1G01210,1.83160568221387,3.85788500682441,2.69329103780518e-14,7.98682554179907e-13
AT1G01220,-1.16955083033758,3.04167227741553,9.83095278142869e-06,4.51746876660631e-05
AT1G01225,0.914587481943682,1.75031095367879,0.00387107877499244,0.00952793003613224
AT1G01230,0.475092688715563,3.76500580184729,0.0443265174287914,0.0794867711751478
AT1G01240,0.510196286617958,2.44589351454746,0.064232652614597,0.110675786760225
AT1G01250,-4.62592881210637,-2.79995754886583,0.253731343283582,0.34956066064661
AT1G01260,-3.04818550173054,2.65388719378264,2.3872165246624e-20,2.54644154917144e-18
AT1G01290,0.832963195365067,3.20053212278114,0.000770532572270686,0.00228143570907031
AT1G01300,0.298706803996819,7.01974935757711,0.150823858750637,0.226565728205257
AT1G01310,-5.76302229518071,-2.12864026809743,0.0172978672658575,0.0345925860302104
AT1G01320,-0.382896158580326,5.3420431077832,0.0764523818439148,0.12764072346854
AT1G01340,-6.17140287116709,-1.8442628463325,0.00464265501031792,0.0110431480633605
AT1G01350,-0.0947201708541095,3.21558840734359,0.706738611047577,0.813764108109382
AT1G01360,0.319244859277583,1.39933736292757,0.341779861503569,0.451772778914787
AT1G01370,1.17422660705821,4.44369250810619,2.08922834672159e-07,1.36959139889201e-06
AT1G01380,-0.764818046892897,-0.0780084524554186,0.177052318712148,0.259785500225744
AT1G01390,3.10224375684146,-1.31057037448157,0.000252789258538808,0.000834428596534741
AT1G01420,8.21289556940791,-0.70660745952336,1.24617769515791e-08,1.0785155050571e-07
AT1G01430,0.22224779111038,3.12773778525372,0.381123865350906,0.495457341373167
AT1G01440,-0.790457994970632,2.36189021976859,0.00663158976561816,0.0152047739471717
AT1G01448,0.160232902604307,0.988584317609935,0.679501396873184,0.789726751726415
AT1G01450,-0.649858968565211,-0.150670442735518,0.326216252909127,0.434335672650579
AT1G01470,1.78295456951985,3.40295602319439,8.67009272714438e-13,1.86964295962974e-11
AT1G01490,-1.04349271985136,3.32226089883276,3.51187197368839e-05,0.000143385125882253
AT1G01500,-0.204707085645574,-0.538587027585041,0.870082149622495,0.962358944772976
AT1G01510,-0.15254258023812,5.34592477809054,0.481804464613784,0.604635711331998
AT1G01530,7.53773813119207,-1.33895623899186,1.54284523990822e-05,6.79702736172886e-05
AT1G01540,0.0599565182592437,4.64843825512024,0.789445468059987,0.890608620759326
AT1G01550,0.0685326667605204,5.34878503730669,0.753937546657733,0.858483969854753
AT1G01560,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT1G01570,1.55260556045572,0.342962954612527,0.000560743662560452,0.00171112085003519
AT1G01590,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT1G01600,-3.8231600494745,0.977783078688325,4.04059301738226e-12,7.66074123934063e-11
AT1G01610,-0.476921462528256,4.18455710001769,0.0375167801873201,0.0686308464732078
AT1G01620,0.865709143003956,8.54044353035058,2.8575378392102e-05,0.000119103824883924
AT1G01630,-0.444874777031042,3.20643724177253,0.0774286168258438,0.128963573571674
AT1G01640,-2.4357584637724,-1.74351998680528,0.0727116570412949,0.122060042156258
AT1G01650,-0.0203826344240585,3.96083184600545,0.949235453493681,1
AT1G01670,-8.42845788732304,-0.0214135022828878,1.7265866284264e-09,1.81966496753198e-08
AT1G01680,-4.23023747448946,-2.98608720657443,0.502487562189054,0.616577043307029
AT1G01690,-1.19285093182033,3.16612045771492,4.37607805783119e-06,2.17163367756962e-05
AT1G01695,4.68045135389687,-3.1567922782334,0.253731343283582,0.34956066064661
AT1G01700,-1.42146708131989,-1.24476167533534,0.160155559464687,0.238496764955072
AT1G01710,-0.261755915809692,3.46001542347228,0.288059131285669,0.390415799103886
AT1G01720,0.188309918693952,1.76187999561762,0.571578264719688,0.685881432336742
AT1G01725,2.0541397702013,2.26646583070861,3.54548592852598e-12,6.78054898115143e-11
AT1G01730,0.386352132247907,4.61516182390372,0.0818096015165228,0.135459587350167
AT1G01740,-4.08496226934471,-0.497269085969121,1.73427011490597e-05,7.56578350306606e-05
AT1G01750,-4.93612344775368,-2.63629712437079,0.128740533784281,0.197015425125412
AT1G01760,-1.08834881869701,-0.125231875483219,0.0508682141218475,0.0900199836605844
AT1G01770,0.646580731852624,1.50588553718764,0.0519570542960322,0.0917252599904404
AT1G01780,-5.1912821940378,-2.49032428037069,0.128740533784281,0.197015425125412
AT1G01790,-0.038829610701069,3.50228634414661,0.882433612872799,0.97322807715654
AT1G01800,0.355171785198955,4.66076746797635,0.110586880363729,0.17651166623902
AT1G01810,0.882731286296464,0.0942405645757056,0.0785181031299988,0.130649462227669
AT1G01820,0.435205116369522,4.56135874878197,0.0503462916883511,0.0892328934957111
AT1G01830,-0.246848082089526,3.88991179953466,0.294571607779319,0.398262121901239
AT1G01840,-3.84395166142609,0.122592257248613,9.93571878671253e-08,6.93984375776291e-07
AT1G01860,-0.179770143833102,0.822240834965228,0.720801859260454,0.827053420468342
AT1G01880,-0.778725649949705,1.95832358385811,0.0121853811486948,0.0259157535193011
AT1G01900,1.38883755171842,2.62908412255446,2.6898116721288e-07,1.73840946127524e-06
AT1G01910,0.357416510154843,5.11729868433877,0.0995601643749463,0.16087470049085
AT1G01920,0.157140311409655,3.20148080032018,0.543424832700429,0.658353582189836
AT1G01930,-1.55251340118691,2.06441965382198,1.39515155507942e-06,7.67962431646171e-06
AT1G01940,0.798653499456162,4.23376749541596,0.000441524386182435,0.00138265025822614
AT1G01950,-1.20491044290828,3.15953843965086,3.6622796285405e-06,1.84957326034357e-05
AT1G01960,-1.24408004629834,5.72466500339926,1.0328031781748e-08,9.14376190056935e-08
AT1G01970,0.433575169641274,2.8856837476599,0.0977806502679586,0.158301923597445
AT1G01980,-3.79267137930071,-0.734121303327448,0.000206995604744213,0.00069816138429
AT1G01990,-0.15202409064219,3.0526636824386,0.562476562222151,0.677203569493352
AT1G02000,-0.162945118088495,2.31769810754966,0.586301624803937,0.700032161673643
AT1G02010,-3.47586017335446,-0.182608778913869,8.72276393327801e-06,4.04633940209828e-05
AT1G02020,1.01247697398881,2.46145904492547,0.000250210201819236,0.000830280727087874
AT1G02030,-4.62592881210637,-2.79995754886583,0.253731343283582,0.34956066064661
AT1G02040,-4.62592881210637,-2.79995754886583,0.253731343283582,0.34956066064661
AT1G02050,-3.53143426776039,0.727916388057085,4.17530354125054e-10,5.02729424742134e-09
AT1G02060,-0.431087273124609,2.28537851258485,0.14724920982242,0.221741648618274
AT1G02065,-2.4430885615194,-0.159364660354996,0.000404159885334655,0.00127564052288764
AT1G02070,2.11198107736311,1.30104390428364,3.86132085051576e-09,3.77945052869637e-08
AT1G02074,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT1G02080,-1.04499528102279,5.63597908573429,1.39162611890732e-06,7.66635769668683e-06
AT1G02090,-0.0201468004985951,5.00900586445323,0.93538153532624,1
AT1G02100,0.17113870300023,3.91281166866865,0.470237577546892,0.592352701732138
AT1G02110,-0.644407683988006,4.81937915751248,0.00364531752758263,0.00902458397376078
AT1G02120,-1.48278692185169,3.70472285820599,2.39095839174902e-09,2.44026566188076e-08
AT1G02130,0.464164932150696,5.2044787734448,0.0317088137734713,0.0597265107027481
AT1G02140,0.454149306110591,7.10130486604667,0.0288795610472298,0.0549484348819662
AT1G02145,0.788946680810035,4.0330398818478,0.000611212022439478,0.00184971394864138
AT1G02150,-0.310273290485217,4.48048454153632,0.16959896654398,0.250555848516702
AT1G02160,1.53678039146272,4.56175641802687,1.29940596487283e-11,2.19808673380413e-10
AT1G02170,-0.971545046259404,2.39094084223813,0.00086739715987614,0.0025161960648341
AT1G02180,0.641457872870821,3.41900634261627,0.00834597671678052,0.0186130612376469
AT1G02190,-2.04652936650798,1.70054193580792,1.63911173931147e-08,1.38158194705141e-07
AT1G02205,-0.0860375269994635,1.52025121158908,0.849050272067413,0.944372883094216
AT1G02230,1.99986749125958,0.939718054897786,3.68538889101936e-07,2.30763240052917e-06
AT1G02250,-4.23023747448946,-2.98608720657443,0.502487562189054,0.616577043307029
AT1G02260,-0.988252670977987,2.00734204611898,0.0016670006235944,0.00451728594189955
AT1G02270,-0.362652495624118,2.9341464948693,0.173639309334901,0.255785357868547
AT1G02280,0.504079535371651,5.11754617336295,0.020195557029158,0.039890082710896
AT1G02290,-0.350973329544438,3.70706353236047,0.140663402068602,0.213021198970053
AT1G02300,2.92331072300897,0.157255263914287,1.69206913130555e-08,1.41996957495643e-07
AT1G02305,0.70992700350961,4.52808193723527,0.00147908328315554,0.00405912027776442
AT1G02330,-0.675209339302101,3.7580315684975,0.00488042341246253,0.0115488287815477
AT1G02335,-0.745856630352117,-0.213723779459132,0.193029032383616,0.279790234670026
AT1G02350,-2.31204615462188,-1.82593618326053,0.118117436562347,0.186646954625414
AT1G02360,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT1G02370,-0.549776609013372,3.42602472884613,0.0266514516076579,0.0511296488237012
AT1G02380,-0.610157812925192,1.07678687140219,0.113019779907638,0.179781138243118
AT1G02390,3.73564440739469,-3.4348054218303,0.999999999999998,1
AT1G02400,-8.79834610129674,0.302195127710976,5.18276264120031e-12,9.52224299981068e-11
AT1G02410,0.0524402613364543,3.21920155315582,0.841266662549873,0.937366108696513
AT1G02420,-0.062462693062681,2.34784342159357,0.869070422915307,0.961750292795071
AT1G02430,-2.41149693946263,-0.183898671074431,0.000404159885334655,0.00127564052288764
AT1G02440,-5.1912821940378,-2.49032428037069,0.128740533784281,0.197015425125412
AT1G02450,-1.58059635285965,0.596376490572464,0.000811266309992833,0.00236932029449528
AT1G02460,-5.59641427199617,-2.23870582777624,0.0336166099694965,0.0622160690196004
AT1G02470,3.73564440739469,-3.4348054218303,0.999999999999998,1
AT1G02475,-1.30780279974501,1.38613105725356,0.000315767213220091,0.00102310066990538
AT1G02490,2.42862559280588,0.122235501105485,1.18844323009403e-06,6.65516094242768e-06
AT1G02500,0.762129644036788,7.13928429269366,0.000254496174570173,0.000838802900855704
AT1G02510,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT1G02520,-8.63600347157037,0.159559598849137,9.12761312772768e-11,1.26542694554377e-09
AT1G02530,-8.54742443531551,0.0821285563419825,3.93458783633909e-10,4.76093794690061e-09
AT1G02560,-0.0539832036740726,5.99493400555524,0.801449616535048,0.901189943390704
AT1G02580,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT1G02610,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT1G02630,1.05439819258872,1.14417673023908,0.00364911136669625,0.00903295856390486
AT1G02640,-0.220084715235438,4.03415560991335,0.345656827472336,0.456287891997244
AT1G02650,-7.16135953592796,-1.08562426085153,0.00014281934376765,0.000500368663895144
AT1G02660,-0.301821451574538,1.58069833379679,0.385452156455694,0.500320496541876
AT1G02670,-8.15631152725133,-0.256234821023159,9.70401739977784e-08,6.80178878286183e-07
AT1G02680,-0.633266983918333,2.53804438070672,0.0235643448228518,0.045888241150066
AT1G02690,-0.647984329776362,5.32962351381615,0.00280558162907044,0.00713148932216689
AT1G02700,3.73564440739469,-3.4348054218303,0.999999999999998,1
AT1G02710,-5.91236630415914,-2.02695460562999,0.0172978672658575,0.0345925860302104
AT1G02720,-0.169087857615861,3.39313265586609,0.498976786644407,0.616577043307029
AT1G02730,-0.464324501706798,7.45686694313507,0.0251770878427236,0.048576813438933
AT1G02740,0.592927724143011,2.63376532075136,0.0270286282819487,0.051713284968876
AT1G02750,2.10917213802507,2.69333807205342,2.64421889748336e-14,7.87317968201887e-13
AT1G02780,0.575676872670171,9.86092135558728,0.00506968267415185,0.0119529192147868
AT1G02790,-6.58142744240544,-1.54045983958026,0.00444384983032388,0.0107212512265631
AT1G02800,-0.250821653545756,5.13550951334988,0.250086741880465,0.34956066064661
AT1G02810,-8.73958742564712,0.250462564562642,1.33778014590472e-11,2.23887135766263e-10
AT1G02813,0.0524384173154348,-2.9642704609959,1,1
AT1G02816,2.59070789011407,3.48679311501268,1.79921244888842e-23,3.52999056713161e-21
AT1G02820,4.68045135389687,-3.1567922782334,0.253731343283582,0.34956066064661
AT1G02840,0.284427577961191,6.42029990230111,0.174994642308352,0.25741837764166
AT1G02850,-5.40802270505515,-2.3586316305857,0.0656324289880646,0.111522347245881
AT1G02860,-2.41149693946263,-0.183898671074431,0.000404159885334655,0.00127564052288764
AT1G02870,0.437664473515044,4.70007812891861,0.0477118969604572,0.0850163172080026
AT1G02880,1.21988315481807,2.02951733667956,3.87997371100256e-05,0.000156610107137344
AT1G02890,-0.868148447147259,4.39350038708597,0.000143455162854487,0.000502436045356151
AT1G02900,1.20198221021469,1.90188236368796,9.74358429653497e-05,0.000358695797172155
AT1G02910,-0.332768220816453,2.80323727831749,0.212630204444606,0.304208354220051
AT1G02920,1.10473333731645,1.87138226627875,0.000295319742033209,0.000961813548456755
AT1G02930,1.78674061622427,4.41448408698067,1.02833541120288e-14,3.29877990157256e-13
AT1G02940,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT1G02950,1.64938200638823,1.17837782116741,4.81909320101062e-06,2.35478661327568e-05
AT1G02952,2.1209405918762,0.423073613362073,2.80339504356252e-06,1.44165229785263e-05
AT1G02960,-1.73745564907198,1.52620495646294,2.48253460103138e-06,1.29442490587853e-05
AT1G02965,-3.68320599007926,-3.20169505689096,0.999999999999998,1
AT1G02970,-0.452032554556288,3.39586624176548,0.0673459996948244,0.114072380890624
AT1G02980,-2.79135902509958,-3.45765537015869,0.999999999999998,1
AT1G02990,-0.45957451162098,3.2860821598518,0.0669894692092373,0.11354725365657
AT1G03000,-0.71675873362825,2.92359323668224,0.00708876690656848,0.0161301194993203
AT1G03030,0.611859875403022,3.49201430530699,0.0110671377257787,0.0237419978899014
AT1G03040,0.0810548728459184,5.11054247439342,0.709970201485819,0.817056939742819
AT1G03055,0.0524384173154348,-2.9642704609959,1,1
AT1G03060,-1.22483743620849,4.92501002934578,4.62403575477637e-08,3.50132879653535e-07
AT1G03070,1.61465712445079,-1.44974753990908,0.0884894498964249,0.145001280538706
AT1G03080,-1.6610820869438,4.24723306564259,3.4154089094891e-12,6.56033176373369e-11
