GeneID,Sample-SRR2073144,Sample-SRR2073145
AT1G68440,98,53
AT1G68450,0,0
AT1G68460,2,47
AT1G68470,21,2
AT1G68480,42,0
AT1G68490,536,239
AT1G68500,3,45
AT1G68510,0,0
AT1G68520,61,15
AT1G68526,0,0
AT1G68530,809,323
AT1G68540,67,51
AT1G68550,77,69
AT1G68552,0,0
AT1G68560,8152,3449
AT1G68568,14,1
AT1G68570,83,70
AT1G68580,858,546
AT1G68585,97,6
AT1G68590,929,599
AT1G68600,17,0
AT1G68610,0,0
AT1G68620,3,0
AT1G68630,426,138
AT1G68640,1805,846
AT1G68650,198,80
AT1G68660,361,329
AT1G68670,529,207
AT1G68680,559,652
AT1G68690,47,42
AT1G68700,31,57
AT1G68710,214,159
AT1G68720,1391,409
AT1G68725,9,2
AT1G68730,156,60
AT1G68735,0,0
AT1G68740,525,140
AT1G68750,0,0
AT1G68760,442,528
AT1G68765,0,0
AT1G68770,0,0
AT1G68780,794,393
AT1G68790,1856,518
AT1G68795,25,0
AT1G68800,34,10
AT1G68810,413,123
AT1G68820,156,69
AT1G68825,0,1
AT1G68830,402,17
AT1G68840,6,3
AT1G68845,0,0
AT1G68850,0,0
AT1G68860,1,0
AT1G68862,14,8
AT1G68870,83,43
AT1G68872,48,2
AT1G68875,1,1
AT1G68880,15,2
AT1G68890,256,59
AT1G68905,0,0
AT1G68907,0,0
AT1G68910,226,46
AT1G68920,594,125
AT1G68930,85,6
AT1G68935,8,1
AT1G68940,36,0
AT1G68945,426,1132
AT1G68950,0,0
AT1G68960,0,0
AT1G68970,0,0
AT1G68980,292,48
AT1G68990,477,102
AT1G69000,0,0
AT1G69010,565,244
AT1G69020,87,59
AT1G69030,422,246
AT1G69040,633,158
AT1G69050,27,0
AT1G69060,188,8
AT1G69070,1618,435
AT1G69080,14,0
AT1G69090,0,0
AT1G69100,0,0
AT1G69110,0,0
AT1G69120,1,0
AT1G69130,0,0
AT1G69140,13,8
AT1G69150,0,0
AT1G69160,50,70
AT1G69170,135,83
AT1G69180,4,2
AT1G69190,0,0
AT1G69200,793,258
AT1G69210,168,173
AT1G69220,716,164
AT1G69230,24,8
AT1G69240,0,0
AT1G69250,862,194
AT1G69252,451,485
AT1G69260,56,24
AT1G69270,462,364
AT1G69280,15,95
AT1G69290,198,58
AT1G69295,1992,792
AT1G69300,0,0
AT1G69310,39,1
AT1G69320,0,0
AT1G69325,11,0
AT1G69330,300,175
AT1G69340,460,336
AT1G69350,66,30
AT1G69360,331,106
AT1G69370,334,229
AT1G69380,209,88
AT1G69390,627,163
AT1G69400,218,245
AT1G69410,691,889
AT1G69420,2728,938
AT1G69430,16,32
AT1G69440,450,189
AT1G69450,62,48
AT1G69460,1476,1162
AT1G69470,0,0
AT1G69480,0,0
AT1G69485,31,0
AT1G69490,0,1
AT1G69500,1,1
AT1G69510,1300,323
AT1G69520,7,16
AT1G69523,1,1
AT1G69526,0,0
AT1G69530,1991,1375
AT1G69540,0,0
AT1G69543,12,28
AT1G69550,373,150
AT1G69560,0,0
AT1G69570,57,0
AT1G69572,52,5
AT1G69580,284,130
AT1G69587,66,68
AT1G69588,24,0
AT1G69590,0,0
AT1G69600,192,57
AT1G69610,55,0
AT1G69620,15549,20516
AT1G69630,0,0
AT1G69640,641,500
AT1G69650,0,0
AT1G69660,0,0
AT1G69670,354,162
AT1G69680,243,308
AT1G69690,210,131
AT1G69700,1106,984
AT1G69710,22,2
AT1G69720,0,0
AT1G69730,126,55
AT1G69740,1732,729
AT1G69750,803,984
AT1G69760,197,45
AT1G69770,1839,810
AT1G69780,346,117
AT1G69790,1,0
AT1G69792,0,0
AT1G69795,0,0
AT1G69797,0,0
AT1G69800,380,368
AT1G69810,1,0
AT1G69818,0,0
AT1G69820,0,0
AT1G69825,0,0
AT1G69828,0,0
AT1G69830,2064,881
AT1G69840,749,503
AT1G69850,536,112
AT1G69860,0,0
AT1G69870,64,41
AT1G69880,134,38
AT1G69890,115,58
AT1G69900,11,0
AT1G69910,1890,558
AT1G69920,0,0
AT1G69930,0,0
AT1G69935,92,41
AT1G69940,9,0
AT1G69950,301,153
AT1G69960,576,467
AT1G69970,15,3
AT1G69980,294,24
AT1G69981,0,0
AT1G69990,0,0
AT1G70000,32,0
AT1G70010,0,0
AT1G70020,0,0
AT1G70030,0,0
AT1G70040,0,0
AT1G70050,0,0
AT1G70060,708,115
AT1G70070,747,192
AT1G70080,0,0
AT1G70090,858,736
AT1G70100,580,75
AT1G70110,0,0
AT1G70120,0,0
AT1G70130,0,0
AT1G70140,6,0
AT1G70150,117,43
AT1G70160,2331,1605
AT1G70170,0,0
AT1G70180,526,299
AT1G70185,11,3
AT1G70190,941,1008
AT1G70200,406,128
AT1G70209,0,0
AT1G70210,251,135
AT1G70220,11,21
AT1G70230,74,4
AT1G70250,10,15
AT1G70260,427,200
AT1G70270,0,7
AT1G70280,621,197
AT1G70290,135,35
AT1G70300,213,29
AT1G70310,2454,2118
AT1G70320,5297,1108
AT1G70330,1095,745
AT1G70340,469,425
AT1G70350,457,518
AT1G70360,65,0
AT1G70370,4114,1837
AT1G70380,0,0
AT1G70390,0,0
AT1G70400,0,0
AT1G70410,355,91
AT1G70420,35,0
AT1G70430,52,64
AT1G70440,10,0
AT1G70450,1,0
AT1G70460,3,0
AT1G70470,306,255
AT1G70480,391,136
AT1G70490,4842,4528
AT1G70500,3,3
AT1G70505,45,20
AT1G70510,269,169
AT1G70518,56,39
AT1G70520,176,43
AT1G70530,296,112
AT1G70540,0,0
AT1G70550,132,70
AT1G70560,265,279
AT1G70570,572,162
AT1G70580,106,16
AT1G70581,0,0
AT1G70590,246,72
AT1G70600,19069,23132
AT1G70610,152,75
AT1G70620,516,70
AT1G70630,95,1
AT1G70640,3,0
AT1G70645,0,0
AT1G70650,27,1
AT1G70660,353,205
AT1G70670,213,223
AT1G70680,12,1
AT1G70690,65,5
AT1G70700,125,4
AT1G70710,3232,1356
AT1G70720,0,0
AT1G70730,983,380
AT1G70740,231,64
AT1G70750,112,26
AT1G70760,48,12
AT1G70770,2565,1065
AT1G70780,0,0
AT1G70782,0,0
AT1G70790,94,25
AT1G70800,42,10
AT1G70810,56,83
AT1G70820,42,6
AT1G70830,19127,12537
AT1G70840,0,1
AT1G70850,798,422
AT1G70860,0,0
AT1G70870,0,0
AT1G70880,0,0
AT1G70885,0,0
AT1G70890,65,77
AT1G70895,151,49
AT1G70900,361,471
AT1G70910,6,0
AT1G70920,8,10
AT1G70940,295,69
AT1G70944,0,0
AT1G70949,0,0
AT1G70950,155,0
AT1G70960,0,0
AT1G70970,0,0
AT1G70980,479,305
AT1G70985,17,0
AT1G70990,1,0
AT1G71000,0,0
AT1G71002,0,0
AT1G71010,1846,313
AT1G71015,1,0
AT1G71020,522,315
AT1G71030,7,2
AT1G71040,139,33
AT1G71050,6,0
AT1G71060,201,220
AT1G71070,695,409
AT1G71080,747,302
AT1G71090,661,619
AT1G71100,434,270
AT1G71110,160,30
AT1G71120,0,0
AT1G71130,278,211
AT1G71140,3,1
AT1G71150,0,0
AT1G71160,0,0
AT1G71170,348,199
AT1G71180,509,278
AT1G71190,241,162
AT1G71200,0,0
AT1G71210,529,120
AT1G71220,2258,321
AT1G71230,268,83
AT1G71235,0,0
AT1G71240,131,30
AT1G71250,22,32
AT1G71260,1523,1234
AT1G71270,913,238
AT1G71280,0,0
AT1G71290,0,0
AT1G71300,19,4
AT1G71310,520,377
AT1G71320,0,0
AT1G71330,5,0
AT1G71340,107,233
AT1G71350,493,103
AT1G71360,268,45
AT1G71370,0,0
AT1G71380,11,0
AT1G71390,0,0
AT1G71400,26,15
AT1G71410,649,107
AT1G71420,80,89
AT1G71430,471,301
AT1G71440,426,207
AT1G71450,0,0
AT1G71460,227,69
AT1G71470,0,0
AT1G71480,46,68
AT1G71490,120,15
AT1G71500,658,257
AT1G71520,0,0
AT1G71528,72,22
AT1G71530,78,14
AT1G71680,2,0
AT1G71690,2,0
AT1G71691,379,227
AT1G71692,0,0
AT1G71695,1195,508
AT1G71696,149,92
AT1G71697,26,60
AT1G71700,0,0
AT1G71710,455,131
AT1G71720,325,45
AT1G71730,919,614
AT1G71740,3,0
AT1G71750,189,200
AT1G71760,21,0
AT1G71770,32,0
AT1G71780,414,519
AT1G71790,383,308
AT1G71800,259,73
AT1G71810,47,1
AT1G71820,1433,341
AT1G71828,28,0
AT1G71830,541,139
AT1G71840,1017,458
AT1G71850,624,94
AT1G71860,1027,364
AT1G71865,140,115
AT1G71866,25,15
AT1G71870,1032,618
AT1G71880,240,121
AT1G71890,36,9
AT1G71900,571,232
AT1G71910,3,0
AT1G71920,196,147
AT1G71930,23,0
AT1G71940,155,88
AT1G71950,1023,1717
AT1G71960,112,66
AT1G71970,99,42
AT1G71980,800,182
AT1G71990,201,87
AT1G72000,0,0
AT1G72010,752,474
AT1G72020,3330,4852
AT1G72030,81,43
AT1G72040,2861,934
AT1G72050,545,130
AT1G72060,42,1
AT1G72070,73,20
AT1G72080,0,0
AT1G72090,1328,510
AT1G72100,3,0
AT1G72110,0,0
AT1G72120,2,3
AT1G72125,5,0
AT1G72130,79,29
AT1G72131,0,0
AT1G72140,3,0
AT1G72141,0,0
AT1G72150,1000,199
AT1G72160,600,429
AT1G72170,631,754
AT1G72175,123,96
AT1G72180,355,117
AT1G72190,148,27
AT1G72200,3,0
AT1G72210,354,97
AT1G72220,3,0
AT1G72230,487,566
AT1G72240,8,0
AT1G72250,1360,263
AT1G72260,62,32
AT1G72270,207,144
AT1G72280,53,13
AT1G72290,1,0
AT1G72300,109,16
AT1G72310,441,266
AT1G72320,1161,257
AT1G72330,491,125
AT1G72340,659,411
AT1G72350,0,0
AT1G72360,22,0
AT1G72370,22158,16837
AT1G72390,1258,357
AT1G72410,924,194
AT1G72416,32,81
AT1G72420,133,177
AT1G72430,18,2
AT1G72440,1239,317
AT1G72450,342,155
AT1G72460,0,0
AT1G72470,276,121
AT1G72480,1378,667
AT1G72490,1,0
AT1G72500,958,343
AT1G72510,216,211
AT1G72520,2,18
AT1G72530,55,10
AT1G72540,7,0
AT1G72550,2142,1060
AT1G72560,590,169
AT1G72570,0,0
AT1G72580,0,0
AT1G72590,7,12
AT1G72600,178,137
AT1G72610,176,125
AT1G72620,0,0
AT1G72630,595,1272
AT1G72640,71,11
AT1G72645,57,0
AT1G72650,475,108
AT1G72660,27,3
AT1G72670,635,148
AT1G72680,356,143
AT1G72690,89,96
AT1G72700,588,46
AT1G72710,1964,672
AT1G72720,28,5
AT1G72730,1312,888
AT1G72740,267,194
AT1G72750,1255,766
AT1G72760,0,0
AT1G72770,296,95
AT1G72780,0,0
AT1G72790,116,51
AT1G72800,35,39
AT1G72810,1014,325
AT1G72820,682,481
AT1G72830,39,1
AT1G72840,66,1
AT1G72850,6,52
AT1G72852,13,0
AT1G72855,132,28
AT1G72860,104,36
AT1G72870,15,0
AT1G72880,622,421
AT1G72890,33,4
AT1G72900,3,0
AT1G72910,13,2
AT1G72920,11,2
AT1G72930,55,10
AT1G72940,25,35
AT1G72950,1,3
AT1G72960,13,0
AT1G72970,1260,449
AT1G72980,0,0
AT1G72990,123,2
AT1G73000,0,0
AT1G73010,14,0
AT1G73020,489,118
AT1G73030,1464,1390
AT1G73040,39,33
AT1G73050,0,1
AT1G73060,404,157
AT1G73066,41,8
AT1G73080,965,151
AT1G73090,232,180
AT1G73100,1164,491
AT1G73110,45,32
AT1G73120,1,0
AT1G73130,80,80
AT1G73140,21,0
AT1G73150,148,69
AT1G73160,0,0
AT1G73165,0,0
AT1G73170,226,42
AT1G73175,5,0
AT1G73177,199,134
AT1G73180,452,325
AT1G73190,0,24
AT1G73200,447,116
AT1G73210,259,86
AT1G73220,33,0
AT1G73230,5716,2863
AT1G73240,536,167
AT1G73250,328,103
AT1G73260,0,0
AT1G73270,1,0
AT1G73280,1,0
AT1G73290,4,0
AT1G73300,0,0
AT1G73310,12,0
AT1G73320,90,42
AT1G73325,0,0
AT1G73330,49,77
AT1G73340,0,2
AT1G73350,188,87
AT1G73360,248,17
AT1G73370,110,39
AT1G73380,298,138
AT1G73390,325,48
AT1G73400,209,122
AT1G73410,1,0
AT1G73430,642,279
AT1G73440,195,77
AT1G73445,3,21
AT1G73450,782,86
AT1G73460,1183,254
AT1G73470,198,145
AT1G73480,49,35
AT1G73490,847,365
AT1G73500,146,101
AT1G73510,0,0
AT1G73530,127,93
AT1G73540,230,239
AT1G73550,6,0
AT1G73560,0,0
AT1G73570,81,0
AT1G73580,0,0
AT1G73590,3869,1353
AT1G73600,68,31
AT1G73602,0,0
AT1G73603,0,0
AT1G73607,0,0
AT1G73610,0,0
AT1G73620,642,466
AT1G73630,175,86
AT1G73640,108,110
AT1G73650,384,459
AT1G73655,390,332
AT1G73660,334,55
AT1G73670,222,84
AT1G73680,199,47
AT1G73687,18,0
AT1G73690,190,39
AT1G73700,11,0
AT1G73710,195,41
AT1G73720,979,541
AT1G73730,320,80
AT1G73740,92,7
AT1G73750,34,18
AT1G73760,734,383
AT1G73770,152,94
AT1G73780,0,0
AT1G73790,142,38
AT1G73805,1,0
AT1G73810,6,0
AT1G73820,392,370
AT1G73830,10,22
AT1G73840,670,177
AT1G73850,73,18
AT1G73860,10,0
AT1G73870,10,0
AT1G73875,163,44
AT1G73880,154,98
AT1G73885,1005,1034
AT1G73890,12,2
AT1G73900,0,0
AT1G73910,18,23
AT1G73920,563,274
AT1G73930,752,344
AT1G73940,1408,803
AT1G73950,391,250
AT1G73960,635,116
AT1G73965,0,0
AT1G73970,320,64
AT1G73980,261,76
AT1G73990,355,78
AT1G74000,24,7
AT1G74010,1,0
AT1G74020,69,91
AT1G74030,1423,454
AT1G74040,237,24
AT1G74045,0,0
AT1G74050,7728,6590
AT1G74055,51,52
AT1G74060,9606,8041
AT1G74070,249,105
AT1G74080,0,0
AT1G74088,66,1
AT1G74090,1474,986
AT1G74100,844,771
AT1G74110,0,0
AT1G74120,223,138
AT1G74130,0,0
AT1G74140,1,0
AT1G74150,137,104
AT1G74160,754,67
AT1G74170,124,0
AT1G74180,34,0
AT1G74190,0,0
AT1G74200,26,12
AT1G74205,19,31
AT1G74210,127,6
AT1G74220,0,0
AT1G74230,2316,1304
AT1G74240,158,150
AT1G74250,556,58
AT1G74260,3211,1667
AT1G74270,2633,3271
AT1G74280,128,140
AT1G74290,54,33
AT1G74300,44,68
AT1G74310,110,26
AT1G74320,265,73
AT1G74330,209,132
AT1G74340,323,504
AT1G74350,37,0
AT1G74360,47,0
AT1G74370,273,206
AT1G74380,959,604
AT1G74390,535,221
AT1G74400,79,49
AT1G74410,73,20
AT1G74420,138,153
AT1G74430,725,126
AT1G74440,460,362
AT1G74448,0,0
AT1G74450,98,63
AT1G74453,45,69
AT1G74456,19,17
AT1G74457,0,0
AT1G74458,109,330
AT1G74460,0,66
AT1G74470,5538,3419
AT1G74480,0,0
AT1G74490,56,84
AT1G74500,0,0
AT1G74510,475,130
AT1G74520,884,848
AT1G74530,378,156
AT1G74540,56,0
AT1G74545,15,0
AT1G74550,113,100
AT1G74560,3454,2682
AT1G74570,0,0
AT1G74580,116,17
AT1G74590,22,27
AT1G74600,206,100
AT1G74610,0,0
AT1G74620,0,0
AT1G74630,49,0
AT1G74640,195,98
AT1G74650,11,0
AT1G74660,20,52
AT1G74670,27,73
AT1G74680,308,58
AT1G74690,3535,1034
AT1G74700,55,26
AT1G74710,105,8
AT1G74720,1683,591
AT1G74730,353,433
AT1G74740,115,15
AT1G74750,252,275
AT1G74770,3,7
AT1G74780,101,62
AT1G74790,689,141
AT1G74800,591,199
AT1G74810,0,0
AT1G74820,0,0
AT1G74830,0,0
AT1G74840,672,263
AT1G74850,793,99
AT1G74860,260,66
AT1G74870,0,0
AT1G74875,0,0
AT1G74880,99,58
AT1G74890,661,349
AT1G74900,142,38
AT1G74910,628,401
AT1G74920,3133,1647
AT1G74929,0,0
AT1G74930,9,39
AT1G74940,266,68
AT1G74950,423,189
AT1G74960,2701,1190
AT1G74970,1219,1112
AT1G74990,0,0
AT1G75000,3,0
AT1G75010,160,47
AT1G75020,77,106
AT1G75030,63,43
AT1G75040,126,25
AT1G75050,0,0
AT1G75060,318,85
AT1G75070,0,0
AT1G75080,961,465
AT1G75090,386,36
AT1G75100,24,3
AT1G75110,322,366
AT1G75120,2216,1354
AT1G75130,319,139
AT1G75140,727,354
AT1G75150,452,40
AT1G75160,0,0
AT1G75163,0,13
AT1G75166,51,62
AT1G75170,199,97
AT1G75180,460,278
AT1G75190,212,16
AT1G75200,1399,546
AT1G75210,472,284
AT1G75220,1021,636
AT1G75230,357,65
AT1G75240,4381,1400
AT1G75250,0,0
AT1G75260,9,0
AT1G75261,0,0
AT1G75270,585,741
AT1G75280,475,195
AT1G75290,29,4
AT1G75295,64,20
AT1G75300,31,4
AT1G75310,970,158
AT1G75330,2156,948
AT1G75335,192,240
AT1G75340,280,141
AT1G75350,1636,1308
AT1G75360,4,32
AT1G75370,407,192
AT1G75380,538,333
AT1G75388,0,0
AT1G75390,0,0
AT1G75394,2,0
AT1G75400,568,136
AT1G75410,61,12
AT1G75420,160,31
AT1G75430,246,25
AT1G75440,157,25
AT1G75450,853,362
AT1G75460,16,5
AT1G75470,0,0
AT1G75480,8,42
AT1G75490,0,1
AT1G75500,4906,3479
AT1G75510,549,135
AT1G75520,294,123
AT1G75530,2,0
AT1G75540,622,337
AT1G75550,74,0
AT1G75560,1248,1066
AT1G75570,0,0
AT1G75580,1241,987
AT1G75590,15,1
AT1G75600,0,0
AT1G75610,0,0
AT1G75620,3,33
AT1G75630,1400,2329
AT1G75640,1108,465
AT1G75650,0,0
AT1G75660,1950,638
AT1G75670,365,284
AT1G75680,1936,1161
AT1G75690,164,94
AT1G75700,26,0
AT1G75710,316,93
AT1G75717,0,0
AT1G75720,20,0
AT1G75730,72,0
AT1G75740,0,0
AT1G75750,24,97
AT1G75760,497,554
AT1G75770,19,14
AT1G75780,748,493
AT1G75790,2,0
AT1G75800,2048,773
AT1G75810,73,54
AT1G75820,2185,693
AT1G75830,0,12
AT1G75840,1915,1320
AT1G75850,386,46
AT1G75860,217,76
AT1G75870,0,0
AT1G75880,1,1
AT1G75890,26,0
AT1G75891,0,0
AT1G75900,23,15
AT1G75910,6,0
AT1G75920,6,0
AT1G75930,5,0
AT1G75940,5,1
AT1G75950,4959,5583
AT1G75960,8,2
AT1G75970,0,0
AT1G75980,268,126
AT1G75990,1169,425
AT1G76000,0,0
AT1G76010,4961,2796
AT1G76020,92,60
AT1G76030,1311,589
AT1G76040,568,131
AT1G76050,113,56
AT1G76060,173,123
AT1G76062,0,0
AT1G76065,91,26
AT1G76070,3,13
AT1G76080,215,102
AT1G76090,113,119
AT1G76100,620,283
AT1G76110,307,121
AT1G76120,468,264
AT1G76130,28,6
AT1G76135,7,0
AT1G76140,1877,638
AT1G76150,438,138
AT1G76160,1444,718
AT1G76170,53,5
AT1G76180,1757,1067
AT1G76185,77,111
AT1G76190,0,0
AT1G76200,2329,2332
AT1G76210,0,0
AT1G76220,0,0
AT1G76230,0,0
AT1G76240,48,3
AT1G76250,9,0
AT1G76260,218,306
AT1G76270,286,52
AT1G76280,215,16
AT1G76290,0,0
AT1G76300,1509,1210
AT1G76310,707,338
AT1G76320,608,51
AT1G76330,0,0
AT1G76340,558,290
AT1G76350,260,66
AT1G76360,11,2
AT1G76370,0,0
AT1G76380,176,10
AT1G76390,423,75
AT1G76400,1994,841
AT1G76405,353,172
AT1G76410,60,16
AT1G76420,330,175
AT1G76430,0,0
AT1G76440,384,442
AT1G76450,175,81
AT1G76460,139,14
AT1G76470,1,0
AT1G76480,0,0
AT1G76490,3199,1990
AT1G76500,12,0
AT1G76510,462,229
AT1G76520,76,25
AT1G76530,2,0
AT1G76540,2781,1296
AT1G76550,801,317
AT1G76560,230,62
AT1G76570,17,9
AT1G76580,410,46
AT1G76590,19,5
AT1G76600,13,68
AT1G76610,17,53
AT1G76620,94,1
AT1G76630,408,131
AT1G76640,0,0
AT1G76650,18,0
AT1G76660,1443,403
AT1G76670,1609,1299
AT1G76680,254,142
AT1G76690,18,38
AT1G76700,236,138
AT1G76705,0,0
AT1G76710,357,6
AT1G76720,154,48
AT1G76728,0,0
AT1G76730,171,63
AT1G76740,599,184
AT1G76750,5,0
AT1G76760,238,420
AT1G76770,2,0
AT1G76780,78,1
AT1G76790,740,978
AT1G76800,318,384
AT1G76810,3008,1251
AT1G76820,114,49
AT1G76830,0,0
AT1G76840,0,0
AT1G76850,1089,454
AT1G76860,1022,1573
AT1G76870,104,85
AT1G76878,428,111
AT1G76880,540,62
AT1G76890,93,26
AT1G76892,74,6
AT1G76900,518,126
AT1G76910,0,0
AT1G76911,1,0
AT1G76920,504,393
AT1G76930,208,86
AT1G76940,199,72
AT1G76950,1285,302
AT1G76952,44,30
AT1G76954,0,0
AT1G76955,0,0
AT1G76960,8,71
AT1G76965,0,0
AT1G76970,320,210
AT1G76980,150,139
AT1G76990,509,175
AT1G76994,0,0
AT1G77000,360,308
AT1G77010,38,14
AT1G77020,22,54
AT1G77030,1417,388
AT1G77040,0,0
AT1G77060,246,41
AT1G77080,576,205
AT1G77090,81,9
AT1G77093,0,0
AT1G77095,0,0
AT1G77100,0,0
AT1G77110,376,80
AT1G77120,2226,860
AT1G77122,248,54
AT1G77130,403,33
AT1G77131,72,4
AT1G77138,6,34
AT1G77140,421,75
AT1G77145,44,17
AT1G77150,0,0
AT1G77160,2,0
AT1G77170,256,204
AT1G77180,3001,994
AT1G77190,1,0
AT1G77200,10,0
AT1G77210,16,1
AT1G77220,241,33
AT1G77230,315,74
AT1G77235,0,25
AT1G77240,248,27
AT1G77250,270,84
AT1G77260,324,159
AT1G77270,284,53
AT1G77280,168,42
AT1G77290,125,73
AT1G77300,1021,152
AT1G77310,163,50
AT1G77320,326,41
AT1G77330,33,45
AT1G77340,0,0
AT1G77350,862,1351
AT1G77360,54,27
AT1G77370,467,956
AT1G77380,53,24
AT1G77390,92,15
AT1G77400,100,51
AT1G77405,56,0
AT1G77410,36,0
AT1G77420,213,106
AT1G77440,1317,1025
AT1G77450,15,14
AT1G77460,435,38
AT1G77470,971,392
AT1G77480,242,77
AT1G77490,405,155
AT1G77500,137,38
AT1G77510,6365,1720
AT1G77520,22,21
AT1G77525,2,1
AT1G77530,1,0
AT1G77540,408,470
AT1G77550,865,305
AT1G77560,0,0
AT1G77570,93,96
AT1G77580,485,207
AT1G77590,1506,618
AT1G77600,386,77
AT1G77610,2072,1699
AT1G77620,218,22
AT1G77630,1154,470
AT1G77640,11,0
AT1G77650,0,0
AT1G77655,0,0
AT1G77660,247,18
AT1G77670,1050,420
AT1G77680,664,218
AT1G77682,0,0
AT1G77690,88,123
AT1G77700,11,20
AT1G77710,1220,1299
AT1G77720,826,169
AT1G77730,1,0
AT1G77740,1524,338
AT1G77746,0,0
AT1G77750,767,423
AT1G77760,917,412
AT1G77765,20,0
AT1G77770,309,57
AT1G77780,0,0
AT1G77790,8,0
AT1G77800,1070,278
AT1G77810,58,1
AT1G77815,0,0
AT1G77820,0,0
AT1G77830,0,0
AT1G77840,1467,500
AT1G77850,134,34
AT1G77855,48,15
AT1G77860,37,0
AT1G77870,3,0
AT1G77880,9,0
AT1G77885,76,46
AT1G77890,42,0
AT1G77910,0,0
AT1G77920,135,0
AT1G77930,117,88
AT1G77932,0,0
AT1G77940,9614,9337
AT1G77950,0,1
AT1G77960,0,0
AT1G77980,0,0
AT1G77990,45,93
AT1G77992,2,0
AT1G78000,16,0
AT1G78010,159,71
AT1G78020,1103,740
AT1G78030,4,0
AT1G78040,8396,11759
AT1G78050,307,74
AT1G78060,2008,850
AT1G78070,37,73
AT1G78080,1111,194
AT1G78090,68,54
AT1G78095,0,0
AT1G78100,255,284
AT1G78110,97,67
AT1G78120,145,14
AT1G78130,29,21
AT1G78140,121,29
AT1G78150,2235,876
AT1G78160,14,0
AT1G78170,290,250
AT1G78172,162,124
AT1G78180,238,114
AT1G78190,109,83
AT1G78200,224,55
AT1G78206,0,0
AT1G78210,621,616
AT1G78220,0,0
AT1G78230,1,0
AT1G78240,434,104
AT1G78250,0,0
AT1G78260,120,43
AT1G78265,212,11
AT1G78270,180,26
AT1G78280,524,236
AT1G78290,14,1
AT1G78300,4078,2927
AT1G78310,93,0
AT1G78320,20,3
AT1G78330,4,0
AT1G78340,13,0
AT1G78350,0,0
AT1G78355,0,0
AT1G78360,0,0
AT1G78370,25075,26029
AT1G78380,7498,8209
AT1G78390,0,0
AT1G78400,0,0
AT1G78410,0,0
AT1G78420,582,494
AT1G78430,1933,616
AT1G78440,58,30
AT1G78450,4,0
AT1G78460,20,9
AT1G78470,0,0
AT1G78476,109,150
AT1G78478,4,0
AT1G78480,93,130
AT1G78490,3146,1099
AT1G78500,9,0
AT1G78510,52,19
AT1G78520,0,0
AT1G78530,1,0
AT1G78540,62,24
AT1G78550,109,112
AT1G78560,355,283
AT1G78570,1273,540
AT1G78580,6279,1533
AT1G78590,199,210
AT1G78600,403,252
AT1G78610,963,487
AT1G78620,550,429
AT1G78630,2673,1581
AT1G78640,0,0
AT1G78650,448,91
AT1G78660,755,587
AT1G78670,331,230
AT1G78680,519,433
AT1G78690,103,15
AT1G78700,332,83
AT1G78710,0,0
AT1G78720,1,0
AT1G78730,40,0
AT1G78740,0,0
AT1G78750,4,0
AT1G78760,2,0
AT1G78770,782,344
AT1G78780,21,0
AT1G78790,116,112
AT1G78800,285,225
AT1G78810,244,196
AT1G78815,10,37
AT1G78820,39,17
AT1G78830,205,89
AT1G78840,0,0
AT1G78850,309,107
AT1G78860,37,40
AT1G78865,655,120
AT1G78870,808,528
AT1G78880,0,0
AT1G78882,0,0
AT1G78890,382,125
AT1G78895,222,112
AT1G78900,6810,3065
AT1G78910,62,30
AT1G78915,131,40
AT1G78920,2261,796
AT1G78922,128,37
AT1G78930,129,26
AT1G78940,134,0
AT1G78950,19,0
AT1G78955,10,0
AT1G78960,55,44
AT1G78970,31,0
AT1G78980,8,0
AT1G78990,0,4
AT1G78995,52,36
AT1G79000,931,184
AT1G79010,2311,2693
AT1G79020,186,17
AT1G79030,249,34
AT1G79040,2924,3874
AT1G79050,892,274
AT1G79060,174,58
AT1G79070,143,36
AT1G79075,688,1368
AT1G79080,210,196
AT1G79090,1744,685
AT1G79100,3,0
AT1G79110,277,65
AT1G79120,67,11
AT1G79130,0,0
AT1G79150,977,215
AT1G79160,67,1
AT1G79170,2,25
AT1G79180,0,0
AT1G79190,294,77
AT1G79200,457,173
AT1G79210,1435,999
AT1G79220,139,179
AT1G79230,1478,529
AT1G79240,0,0
AT1G79245,320,114
AT1G79250,0,0
AT1G79260,260,193
AT1G79270,26,24
AT1G79280,2447,450
AT1G79290,0,0
AT1G79300,0,0
AT1G79310,0,0
AT1G79320,0,0
AT1G79330,1,0
AT1G79340,1324,597
AT1G79350,824,210
AT1G79360,12,0
AT1G79370,0,0
AT1G79380,166,16
AT1G79390,563,702
AT1G79400,0,0
AT1G79410,39,7
AT1G79420,280,120
AT1G79430,92,9
AT1G79440,1310,426
AT1G79450,12,0
AT1G79460,724,226
AT1G79470,761,243
AT1G79480,8,11
AT1G79490,398,175
AT1G79500,613,272
AT1G79510,16,35
AT1G79520,29,21
AT1G79529,559,594
AT1G79530,2954,2307
AT1G79540,279,117
AT1G79550,7135,5064
AT1G79560,1626,479
AT1G79570,707,182
AT1G79580,0,0
AT1G79590,365,172
AT1G79600,438,121
AT1G79610,374,33
AT1G79620,97,9
AT1G79630,388,209
AT1G79640,109,25
AT1G79650,1316,758
AT1G79660,124,103
AT1G79670,195,80
AT1G79680,0,0
AT1G79690,1331,768
AT1G79700,44,23
AT1G79710,699,255
AT1G79720,760,542
